"","V1","V2"
"1",2.1,1
"2",25.6,0
"3",23.6,0
"4",49.6,1
"5",28.6,0
"6",22.6,0
"7",44.6,0
"8",26.1,0
"9",28.1,1
"10",35.6,1
"11",1.5,0
"12",31.5,1
"13",23.6,0
"14",42.6,0
"15",23.1,0
"16",2.6,0
"17",29.3,1
"18",15.4,1
"19",40.6,0
"20",19.5,0
"21",18,1
"22",31.5,1
"23",50.7,1
"24",30.6,0
"25",7.6,1
"26",20.6,0
"27",17.1,0
"28",38.7,0
"29",38.2,1
"30",32.5,0
"31",32.7,0
"32",32.9,0
"33",42.9,0
"34",49.8,0
"35",17.9,1
"36",18.4,1
"37",14.7,1
"38",24.8,1
"39",45.3,1
"40",45.7,0
"41",38.5,0
"42",38.1,1
"43",62.7,1
"44",22.7,1
"45",26.7,1
"46",39.7,1
"47",21.3,1
"48",0.2,1
"49",33.7,0
"50",6.7,0
"51",18.7,0
"52",5.7,0
"53",15.7,1
"54",37.7,1
"55",29.7,1
"56",1.2,1
"57",39,1
"58",17.7,1
"59",33,0
"60",25.4,0
"61",32.2,0
"62",25.1,1
"63",19.7,1
"64",34.7,1
"65",14.7,1
"66",0.7,1
"67",16.7,0
"68",12.8,1
"69",21.8,0
"70",24.1,0
"71",60.8,0
"72",26.5,0
"73",27,1
"74",44.5,1
"75",24.8,0
"76",9,1
"77",16.3,1
"78",53.8,0
"79",1.7,0
"80",16.1,1
"81",7.7,1
"82",26.1,0
"83",30.6,1
"84",35,1
"85",32.4,0
"86",35.7,1
"87",8.8,1
"88",7.2,1
"89",17.8,1
"90",28.5,1
"91",0.6,1
"92",3.9,1
"93",9.9,0
"94",23.5,1
"95",18.5,1
"96",1.4,1
"97",54.9,0
"98",4.9,1
"99",24.4,1
"100",3.2,0
"101",4.5,1
"102",1.2,0
"103",24.3,1
"104",10.9,0
"105",47,0
"106",8.9,1
"107",54.8,1
"108",2.4,1
"109",32.3,1
"110",8.2,1
"111",42.7,1
"112",36.6,1
"113",4.8,0
"114",29.2,0
"115",26.3,0
"116",70.2,1
"117",42,1
"118",15,1
"119",17,1
"120",0.4,1
"121",24.8,0
"122",46.5,1
"123",29.2,0
"124",20,1
"125",16.9,1
"126",17.5,1
"127",5.7,1
"128",32.5,1
"129",14.2,1
"130",42.4,1
"131",16.4,1
"132",32.1,1
"133",6.2,0
"134",23.8,1
"135",50.3,1
"136",50.6,0
"137",21.2,1
"138",25.6,0
"139",19,1
"140",0.9,1
"141",1,1
"142",23.6,1
"143",7.3,0
"144",2.6,0
"145",66.2,0
"146",71.2,1
"147",0.6,1
"148",7.6,0
"149",66.2,0
"150",8.8,0
"151",3,0
"152",34.7,1
"153",18.7,0
"154",0.7,0
"155",48.1,0
"156",0.3,1
"157",0.2,1
"158",3.6,1
"159",7,1
"160",21.3,0
"161",43.2,1
"162",0.7,1
"163",9.1,1
"164",11.8,1
"165",16.6,1
"166",55.4,0
"167",55,1
"168",6.8,1
"169",20.9,0
"170",39.2,1
"171",30,1
"172",25,0
"173",19.6,1
"174",21.6,1
"175",16.6,0
"176",12.6,1
"177",25.6,0
"178",20.6,1
"179",1.6,1
"180",39.4,0
"181",30.7,1
"182",17.7,1
"183",35.7,1
"184",28.7,1
"185",29.7,1
"186",36.7,1
"187",22.7,0
"188",0.5,1
"189",13.7,1
"190",2.8,0
"191",38.8,0
"192",48.9,1
"193",65.2,0
"194",38,1
"195",39.6,0
"196",31.1,0
"197",22.7,1
"198",47.8,0
"199",30.8,0
"200",0.8,1
"201",28.9,1
"202",16.9,1
"203",2.9,1
"204",26.3,0
"205",42.9,0
"206",28.2,1
"207",1.9,0
"208",10.9,0
"209",17.5,1
"210",0.1,1
"211",33.4,0
"212",1,1
"213",38.2,0
"214",60.9,1
"215",19.8,1
"216",22.6,1
"217",36.3,0
"218",3,1
"219",52.9,1
"220",32.4,1
"221",47.7,0
"222",23.6,1
"223",24.7,1
"224",18.3,1
"225",28.9,1
"226",19.5,1
"227",7.1,0
"228",44.7,0
"229",40.7,0
"230",30.4,1
"231",27,0
"232",30.6,0
"233",26,0
"234",51.1,1
"235",31.4,0
"236",61.4,0
"237",18.1,1
"238",17.6,1
"239",27.6,0
"240",20.4,0
"241",32.4,0
"242",15.6,1
"243",1.8,0
"244",35.2,0
"245",39.8,1
"246",27,1
"247",34.7,1
"248",25,1
"249",15.9,1
"250",26.7,0
"251",34.5,0
"252",62.6,0
"253",54.7,0
"254",37.8,1
"255",5.8,1
"256",22.9,0
"257",24.6,1
"258",16.9,1
"259",17.6,1
"260",2,1
"261",56.7,0
"262",56.8,1
"263",31.9,1
"264",30.1,1
"265",61.6,0
"266",16.7,1
"267",45.6,0
"268",39.6,1
"269",32.9,1
"270",33.1,0
"271",2.1,1
"272",26.7,1
"273",7.6,1
"274",6.1,0
"275",29.7,1
"276",25.6,1
"277",28.7,1
"278",35.7,0
"279",50.9,1
"280",36.7,0
"281",20.4,0
"282",24.9,0
"283",1.3,0
"284",14.1,1
"285",9.2,1
"286",20.6,1
"287",17.3,0
"288",2.5,1
"289",64.8,0
"290",25.7,0
"291",57.9,1
"292",46,0
"293",45.8,0
"294",17.2,1
"295",30.3,1
"296",35.6,1
"297",40.2,0
"298",20.7,0
"299",37,0
"300",18.4,0
"301",45.8,0
"302",36.7,0
"303",0.1,1
"304",5.7,0
"305",31,0
"306",4.9,0
"307",34.7,0
"308",17.9,1
"309",53,0
"310",3.8,1
"311",15.7,1
"312",61.1,1
"313",4.1,1
"314",28.8,0
"315",19.7,1
"316",55.7,0
"317",19.9,1
"318",21,0
"319",17.2,1
"320",24.7,0
"321",1.5,0
"322",6.9,0
"323",3.5,1
"324",2.2,1
"325",24.8,0
"326",23.1,1
"327",1.1,0
"328",15.1,1
"329",31.8,0
"330",31.1,0
"331",8.1,0
"332",28.1,1
"333",56.1,0
"334",8.9,0
"335",21.8,1
"336",46,0
"337",50.8,0
"338",26.9,0
"339",7.6,0
"340",23.6,1
"341",22.4,1
"342",60.8,0
"343",14.9,1
"344",28,0
"345",59.1,0
"346",4,0
"347",29.8,1
"348",16.3,1
"349",32,0
"350",6.3,1
"351",19.9,1
"352",14,1
"353",21.7,0
"354",20.2,0
"355",41.2,0
"356",26.1,0
"357",9.9,1
"358",20.8,1
"359",1.8,1
"360",1.3,1
"361",38,1
"362",31.1,0
"363",0.9,1
"364",33.1,1
"365",8.1,1
"366",4.1,0
"367",0.7,1
"368",34.8,1
"369",39,1
"370",18.8,1
"371",23.2,0
"372",35.1,0
"373",25.3,0
"374",51.1,0
"375",25.9,1
"376",56.4,1
"377",24.9,1
"378",0.7,1
"379",34.1,0
"380",28,0
"381",8.1,1
"382",51,1
"383",32.7,0
"384",20.3,0
"385",54,0
"386",46.4,1
"387",33.8,1
"388",25.1,0
"389",57.5,1
"390",7.2,0
"391",51.1,0
"392",68.1,0
"393",49.8,1
"394",1.5,0
"395",39.8,0
"396",0.1,1
"397",17.1,1
"398",31,1
"399",9.2,0
"400",5,1
"401",18.6,1
"402",61.4,0
"403",27.3,1
"404",19.5,0
"405",21.7,0
"406",36.7,0
"407",22.7,0
"408",32.6,0
"409",5.6,0
"410",34.5,0
"411",33,1
"412",18.5,1
"413",17.1,1
"414",17.6,1
"415",25.6,0
"416",17.7,1
"417",17.2,1
"418",16.6,1
"419",16.6,1
"420",16.4,1
"421",16.6,1
"422",16.3,1
"423",17.2,1
"424",16.7,1
"425",17.8,1
"426",15.6,1
"427",16.2,1
"428",16.7,1
"429",16.6,1
"430",18.6,0
"431",17.1,1
"432",17.6,1
"433",10.8,1
"434",16,1
"435",16.1,1
"436",15.2,1
"437",41.6,1
"438",15.8,1
"439",18.8,1
"440",15.6,1
"441",24.1,0
"442",16.9,1
"443",16.2,1
"444",16.7,1
"445",16.6,1
"446",15.1,1
"447",15,1
"448",43.7,0
"449",18.6,1
"450",15.8,1
"451",16.7,1
"452",16.8,1
"453",15.4,1
"454",31.2,1
"455",17.4,1
"456",30.7,0
"457",16.6,1
"458",14.7,1
"459",16.6,1
"460",0.9,0
"461",17.6,1
"462",17,1
"463",14.3,1
"464",16.8,1
"465",16.6,1
"466",16.5,1
"467",16.6,1
"468",16.6,1
"469",16.6,1
"470",16.6,1
"471",17.4,1
"472",15.3,1
"473",12,1
"474",18,1
"475",17.3,1
"476",17.7,1
"477",15.7,1
"478",16.4,1
"479",15.8,1
"480",16.7,1
"481",16.7,1
"482",15.6,1
"483",12,1
"484",15.5,1
"485",13.6,1
"486",15.7,1
"487",14.3,1
"488",16.4,1
"489",14.3,1
"490",16.9,1
"491",20,1
"492",15.7,1
"493",17.1,1
"494",61.5,1
"495",16.8,1
"496",15.8,1
"497",14.7,1
"498",19.7,1
"499",14.2,1
"500",17.3,1
"501",17.5,1
"502",15.5,1
"503",17,1
"504",15.2,1
"505",17,1
"506",16,1
"507",16.8,1
"508",16.9,1
"509",31.6,1
"510",31.6,1
"511",16.7,1
"512",17.8,1
"513",15.8,1
"514",17.8,1
"515",14.9,1
"516",15.2,1
"517",17.4,1
"518",20.3,1
"519",20.5,1
"520",40.7,0
"521",19,1
"522",15.9,1
"523",31.5,1
"524",27.6,0
"525",24.8,1
"526",3.8,1
"527",17.4,1
"528",0.1,1
"529",24.8,1
"530",31.2,1
"531",48.2,0
"532",42.2,0
"533",0.9,0
"534",17,1
"535",15.7,1
"536",28.3,0
"537",21.6,1
"538",21.7,1
"539",2,0
"540",13.8,1
"541",23.8,1
"542",11.8,1
"543",16.1,1
"544",27.2,0
"545",15.7,1
"546",7.7,1
"547",16,1
"548",6.8,1
"549",27.7,1
"550",9.9,0
"551",24.6,1
"552",25.9,1
"553",27.2,1
"554",39.7,1
"555",41.6,0
"556",21,1
"557",20,1
"558",34.1,1
"559",25.8,1
"560",16.2,1
"561",25.9,1
"562",28.1,1
"563",3.6,1
"564",28.8,1
"565",22.8,1
"566",30,1
"567",40.6,1
"568",21.2,1
"569",33.1,1
"570",41.6,1
"571",16.1,1
"572",20.4,1
"573",26.8,1
"574",13,1
"575",34.9,1
"576",29.8,1
"577",24.6,1
"578",21.6,1
"579",20.8,1
"580",22.2,1
"581",26.6,1
"582",30.7,1
"583",21.9,1
"584",25.4,1
"585",23.4,1
"586",32,0
"587",19.3,1
"588",20.9,1
"589",21.8,1
"590",2.5,0
"591",33.9,1
"592",34.6,1
"593",4.1,0
"594",18.7,1
"595",19.6,1
"596",24,1
"597",37.7,1
"598",20.1,1
"599",18.6,1
"600",27.1,1
"601",30.8,1
"602",18.9,0
"603",18.9,1
"604",19.8,1
"605",32.6,1
"606",20.8,1
"607",25.7,0
"608",30.7,0
"609",23.5,1
"610",18.6,1
"611",25.9,1
"612",0.2,0
"613",34.6,1
"614",5.2,1
"615",31.7,1
"616",17.6,1
"617",35.6,0
"618",18.7,1
"619",24.7,1
"620",22.4,0
"621",18.9,1
"622",36.3,1
"623",36.7,1
"624",15.6,1
"625",34.5,0
"626",37.7,1
"627",57.1,0
"628",50.1,0
"629",23.5,1
"630",18.5,0
"631",18.6,1
"632",18.7,0
"633",18.7,1
"634",19.9,0
"635",41.6,1
"636",23.6,1
"637",1.3,0
"638",27.8,1
"639",26.9,0
"640",22.1,1
"641",58.1,1
"642",31.7,0
"643",38.7,0
"644",50.7,1
"645",49.6,1
"646",42.9,0
"647",13.8,1
"648",26,1
"649",22.7,1
"650",23.6,1
"651",31.6,1
"652",21.7,1
"653",3.7,0
"654",43.8,1
"655",18.6,1
"656",2.6,1
"657",30.7,1
"658",24.1,1
"659",20.6,1
"660",26.4,1
"661",24.4,0
"662",26.6,1
"663",24.1,1
"664",18.3,1
"665",50.7,1
"666",26.6,0
"667",18.6,1
"668",18.5,1
"669",31.7,1
"670",25.2,1
"671",32.5,1
"672",32.4,1
"673",35.9,1
"674",26.7,1
"675",48.6,1
"676",19.3,1
"677",32.6,0
"678",24.7,0
"679",36.5,0
"680",30.1,1
"681",23.8,1
"682",24.1,1
"683",24.5,0
"684",37.6,1
"685",29.7,0
"686",37.4,1
"687",32.3,0
"688",25.2,0
"689",25.2,1
"690",21.7,1
"691",28.6,1
"692",28.7,1
"693",2.2,1
"694",20.2,0
"695",39.6,0
"696",56.6,0
"697",30.2,1
"698",35.1,1
"699",20.5,1
"700",21.2,1
"701",19.8,0
"702",22,1
"703",46.4,1
"704",0.9,1
"705",46.3,1
"706",22.4,0
"707",22,1
"708",60.1,0
"709",39.5,1
"710",24.6,1
"711",2,0
"712",30.5,0
"713",9.3,1
"714",43.9,1
"715",44.8,1
"716",22.8,1
"717",26.7,0
"718",1.4,1
"719",4.3,0
"720",17,1
"721",41,1
"722",26.8,1
"723",32,1
"724",28.8,1
"725",5.2,1
"726",19,1
"727",19.1,1
"728",36.4,1
"729",28.5,1
"730",33.5,0
"731",48.1,1
"732",2.5,0
"733",18.2,1
"734",61.6,1
"735",14.7,1
"736",25.7,0
"737",24.9,1
"738",27.7,1
"739",40.6,1
"740",22.7,1
"741",21.2,0
"742",21.8,1
"743",32.8,1
"744",37,1
"745",26,1
"746",19.8,1
"747",29.7,1
"748",59.8,1
"749",26.4,0
"750",67.2,1
"751",3.6,0
"752",23.9,1
"753",1.4,1
"754",6,0
"755",28.9,0
"756",46.6,1
"757",22.5,1
"758",35.6,1
"759",21,1
"760",30.9,1
"761",28.5,0
"762",29.1,1
"763",1.2,1
"764",19.2,0
"765",19.7,1
"766",25.8,1
"767",1,0
"768",13.7,1
"769",29.2,0
"770",40.8,1
"771",29.8,1
"772",25,1
"773",7.1,1
"774",62.6,0
"775",39.9,1
"776",52.7,0
"777",56.8,1
"778",31.6,1
"779",34.1,1
"780",24.2,0
"781",31.7,1
"782",42.8,1
"783",27.9,0
"784",28.9,1
"785",25.9,1
"786",27.8,0
"787",1.1,0
"788",1.8,0
"789",21.7,1
"790",23.1,1
"791",3.3,1
"792",0.5,0
"793",50.9,1
"794",29,1
"795",1.4,0
"796",37.5,0
"797",33.8,0
"798",31,1
"799",32.8,0
"800",32.7,0
"801",36.8,1
"802",47.1,1
"803",12.2,1
"804",18.8,1
"805",1,1
"806",37.1,1
"807",26.3,1
"808",29.7,0
"809",18.4,1
"810",29.8,0
"811",3,1
"812",21,0
"813",37.5,1
"814",16.7,1
"815",19.9,1
"816",25.2,1
"817",22.2,0
"818",5.8,0
"819",24.6,1
"820",20,1
"821",44.6,0
"822",24.7,1
"823",18.3,1
"824",19.8,1
"825",32.9,1
"826",29.9,1
"827",28.5,1
"828",23.1,1
"829",34.1,1
"830",25.8,1
"831",45,1
"832",28,1
"833",18.9,1
"834",23,1
"835",18.8,0
"836",25.5,1
"837",50.5,1
"838",20.1,1
"839",18.5,1
"840",5.5,0
"841",35.9,0
"842",58.7,1
"843",52.4,0
"844",61.1,0
"845",29,1
"846",31,1
"847",25.9,1
"848",30.9,1
"849",19,1
"850",50.1,1
"851",24,1
"852",31.4,1
"853",44,0
"854",47,1
"855",20.2,1
"856",23.8,1
"857",20.6,1
"858",18.9,1
"859",38,1
"860",44.8,1
"861",35.1,0
"862",6.1,0
"863",39.6,1
"864",33.9,1
"865",29.6,1
"866",18.9,1
"867",19.1,1
"868",19.7,1
"869",39.7,1
"870",20.8,1
"871",25.6,0
"872",28.2,1
"873",20,0
