,age,sex
0,2.1,1
1,25.6,0
2,23.6,0
3,49.6,1
4,28.6,0
5,22.6,0
6,44.6,0
7,26.1,0
8,28.1,1
9,35.6,1
10,1.5,0
11,31.5,1
12,23.6,0
13,42.6,0
14,23.1,0
15,2.6,0
16,29.3,1
17,15.4,1
18,40.6,0
19,19.5,0
20,18.0,1
21,31.5,1
22,50.7,1
23,30.6,0
24,7.6,1
25,20.6,0
26,17.1,0
27,38.7,0
28,38.2,1
29,32.5,0
30,32.7,0
31,32.9,0
32,42.9,0
33,49.8,0
34,17.9,1
35,18.4,1
36,14.7,1
37,24.8,1
38,45.3,1
39,45.7,0
40,38.5,0
41,38.1,1
42,62.7,1
43,22.7,1
44,26.7,1
45,39.7,1
46,21.3,1
47,0.2,1
48,33.7,0
49,6.7,0
50,18.7,0
51,5.7,0
52,15.7,1
53,37.7,1
54,29.7,1
55,1.2,1
56,39.0,1
57,17.7,1
58,33.0,0
59,25.4,0
60,32.2,0
61,25.1,1
62,19.7,1
63,34.7,1
64,14.7,1
65,0.7,1
66,16.7,0
67,12.8,1
68,21.8,0
69,24.1,0
70,60.8,0
71,26.5,0
72,27.0,1
73,44.5,1
74,24.8,0
75,9.0,1
76,16.3,1
77,53.8,0
78,1.7,0
79,16.1,1
80,7.7,1
81,26.1,0
82,30.6,1
83,35.0,1
84,32.4,0
85,35.7,1
86,8.8,1
87,7.2,1
88,17.8,1
89,28.5,1
90,0.6,1
91,3.9,1
92,9.9,0
93,23.5,1
94,18.5,1
95,1.4,1
96,54.9,0
97,4.9,1
98,24.4,1
99,3.2,0
100,4.5,1
101,1.2,0
102,24.3,1
103,10.9,0
104,47.0,0
105,8.9,1
106,54.8,1
107,2.4,1
108,32.3,1
109,8.2,1
110,42.7,1
111,36.6,1
112,4.8,0
113,29.2,0
114,26.3,0
115,70.2,1
116,42.0,1
117,15.0,1
118,17.0,1
119,0.4,1
120,24.8,0
121,46.5,1
122,29.2,0
123,20.0,1
124,16.9,1
125,17.5,1
126,5.7,1
127,32.5,1
128,14.2,1
129,42.4,1
130,16.4,1
131,32.1,1
132,6.2,0
133,23.8,1
134,50.3,1
135,50.6,0
136,21.2,1
137,25.6,0
138,19.0,1
139,0.9,1
140,1.0,1
141,23.6,1
142,7.3,0
143,2.6,0
144,66.2,0
145,71.2,1
146,0.6,1
147,7.6,0
148,66.2,0
149,8.8,0
150,3.0,0
151,34.7,1
152,18.7,0
153,0.7,0
154,48.1,0
155,0.3,1
156,0.2,1
157,3.6,1
158,7.0,1
159,21.3,0
160,43.2,1
161,0.7,1
162,9.1,1
163,11.8,1
164,16.6,1
165,55.4,0
166,55.0,1
167,6.8,1
168,20.9,0
169,39.2,1
170,30.0,1
171,25.0,0
172,19.6,1
173,21.6,1
174,16.6,0
175,12.6,1
176,25.6,0
177,20.6,1
178,1.6,1
179,39.4,0
180,30.7,1
181,17.7,1
182,35.7,1
183,28.7,1
184,29.7,1
185,36.7,1
186,22.7,0
187,0.5,1
188,13.7,1
189,2.8,0
190,38.8,0
191,48.9,1
192,65.2,0
193,38.0,1
194,39.6,0
195,31.1,0
196,22.7,1
197,47.8,0
198,30.8,0
199,0.8,1
200,28.9,1
201,16.9,1
202,2.9,1
203,26.3,0
204,42.9,0
205,28.2,1
206,1.9,0
207,10.9,0
208,17.5,1
209,0.1,1
210,33.4,0
211,1.0,1
212,38.2,0
213,60.9,1
214,19.8,1
215,22.6,1
216,36.3,0
217,3.0,1
218,52.9,1
219,32.4,1
220,47.7,0
221,23.6,1
222,24.7,1
223,18.3,1
224,28.9,1
225,19.5,1
226,7.1,0
227,44.7,0
228,40.7,0
229,30.4,1
230,27.0,0
231,30.6,0
232,26.0,0
233,51.1,1
234,31.4,0
235,61.4,0
236,18.1,1
237,17.6,1
238,27.6,0
239,20.4,0
240,32.4,0
241,15.6,1
242,1.8,0
243,35.2,0
244,39.8,1
245,27.0,1
246,34.7,1
247,25.0,1
248,15.9,1
249,26.7,0
250,34.5,0
251,62.6,0
252,54.7,0
253,37.8,1
254,5.8,1
255,22.9,0
256,24.6,1
257,16.9,1
258,17.6,1
259,2.0,1
260,56.7,0
261,56.8,1
262,31.9,1
263,30.1,1
264,61.6,0
265,16.7,1
266,45.6,0
267,39.6,1
268,32.9,1
269,33.1,0
270,2.1,1
271,26.7,1
272,7.6,1
273,6.1,0
274,29.7,1
275,25.6,1
276,28.7,1
277,35.7,0
278,50.9,1
279,36.7,0
280,20.4,0
281,24.9,0
282,1.3,0
283,14.1,1
284,9.2,1
285,20.6,1
286,17.3,0
287,2.5,1
288,64.8,0
289,25.7,0
290,57.9,1
291,46.0,0
292,45.8,0
293,17.2,1
294,30.3,1
295,35.6,1
296,40.2,0
297,20.7,0
298,37.0,0
299,18.4,0
300,45.8,0
301,36.7,0
302,0.1,1
303,5.7,0
304,31.0,0
305,4.9,0
306,34.7,0
307,17.9,1
308,53.0,0
309,3.8,1
310,15.7,1
311,61.1,1
312,4.1,1
313,28.8,0
314,19.7,1
315,55.7,0
316,19.9,1
317,21.0,0
318,17.2,1
319,24.7,0
320,1.5,0
321,6.9,0
322,3.5,1
323,2.2,1
324,24.8,0
325,23.1,1
326,1.1,0
327,15.1,1
328,31.8,0
329,31.1,0
330,8.1,0
331,28.1,1
332,56.1,0
333,8.9,0
334,21.8,1
335,46.0,0
336,50.8,0
337,26.9,0
338,7.6,0
339,23.6,1
340,22.4,1
341,60.8,0
342,14.9,1
343,28.0,0
344,59.1,0
345,4.0,0
346,29.8,1
347,16.3,1
348,32.0,0
349,6.3,1
350,19.9,1
351,14.0,1
352,21.7,0
353,20.2,0
354,41.2,0
355,26.1,0
356,9.9,1
357,20.8,1
358,1.8,1
