,Susceptible: 0-9,Exposed: 0-9,Infected (symptomatic): 0-9,Asymptomatically Infected: 0-9,Recovered: 0-9,Hospitalised: 0-9,Critical: 0-9,Deaths: 0-9,Offsite: 0-9,Quarantined: 0-9,No ICU Care: 0-9,Susceptible: 10-19,Exposed: 10-19,Infected (symptomatic): 10-19,Asymptomatically Infected: 10-19,Recovered: 10-19,Hospitalised: 10-19,Critical: 10-19,Deaths: 10-19,Offsite: 10-19,Quarantined: 10-19,No ICU Care: 10-19,Susceptible: 20-29,Exposed: 20-29,Infected (symptomatic): 20-29,Asymptomatically Infected: 20-29,Recovered: 20-29,Hospitalised: 20-29,Critical: 20-29,Deaths: 20-29,Offsite: 20-29,Quarantined: 20-29,No ICU Care: 20-29,Susceptible: 30-39,Exposed: 30-39,Infected (symptomatic): 30-39,Asymptomatically Infected: 30-39,Recovered: 30-39,Hospitalised: 30-39,Critical: 30-39,Deaths: 30-39,Offsite: 30-39,Quarantined: 30-39,No ICU Care: 30-39,Susceptible: 40-49,Exposed: 40-49,Infected (symptomatic): 40-49,Asymptomatically Infected: 40-49,Recovered: 40-49,Hospitalised: 40-49,Critical: 40-49,Deaths: 40-49,Offsite: 40-49,Quarantined: 40-49,No ICU Care: 40-49,Susceptible: 50-59,Exposed: 50-59,Infected (symptomatic): 50-59,Asymptomatically Infected: 50-59,Recovered: 50-59,Hospitalised: 50-59,Critical: 50-59,Deaths: 50-59,Offsite: 50-59,Quarantined: 50-59,No ICU Care: 50-59,Susceptible: 60-69,Exposed: 60-69,Infected (symptomatic): 60-69,Asymptomatically Infected: 60-69,Recovered: 60-69,Hospitalised: 60-69,Critical: 60-69,Deaths: 60-69,Offsite: 60-69,Quarantined: 60-69,No ICU Care: 60-69,Susceptible: 70+,Exposed: 70+,Infected (symptomatic): 70+,Asymptomatically Infected: 70+,Recovered: 70+,Hospitalised: 70+,Critical: 70+,Deaths: 70+,Offsite: 70+,Quarantined: 70+,No ICU Care: 70+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,Offsite,Quarantined,No ICU Care,Change in Susceptible,Change in Exposed,Change in Infected (symptomatic),Change in Asymptomatically Infected,Change in Recovered,Change in Hospitalised,Change in Critical,Change in Deaths,Change in Offsite,Change in Quarantined,Change in No ICU Care,Change in total active infections,R0,latentRate,removalRate,hospRate,deathRateICU,deathRateNoIcu
0,0.210488743,0,1.13E-05,1.13E-05,0,0,0,0,0,0,0,0.173390727,0,9.27E-06,9.27E-06,0,0,0,0,0,0,0,0.263485909,0,1.41E-05,1.41E-05,0,0,0,0,0,0,0,0.171590824,0,9.18E-06,9.18E-06,0,0,0,0,0,0,0,0.092395059,0,4.94E-06,4.94E-06,0,0,0,0,0,0,0,0.055497032,0,2.97E-06,2.97E-06,0,0,0,0,0,0,0,0.025398642,0,1.36E-06,1.36E-06,0,0,0,0,0,0,0,0.007699588,0,4.12E-07,4.12E-07,0,0,0,0,0,0,0,0,0.999946524,0,5.35E-05,5.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
1,0.210473355,1.38E-05,9.83E-06,9.53E-06,4.76E-06,1.68E-08,4.23E-10,1.02E-11,0,0,0,0.173370116,1.84E-05,8.87E-06,7.86E-06,3.98E-06,1.52E-08,3.77E-10,9.06E-12,0,0,0,0.26345686,2.60E-05,1.30E-05,1.22E-05,6.03E-06,2.79E-08,6.96E-10,1.68E-11,0,0,0,0.171570939,1.78E-05,8.41E-06,8.10E-06,3.92E-06,3.39E-08,8.46E-10,2.04E-11,0,0,0,0.092386607,7.56E-06,4.32E-06,4.34E-06,2.06E-06,5.27E-08,1.33E-09,3.21E-11,0,0,0,0.055492944,3.66E-06,2.52E-06,2.59E-06,1.17E-06,8.69E-08,2.20E-09,5.32E-11,0,0,0,0.025397642,8.94E-07,1.10E-06,1.15E-06,4.81E-07,8.67E-08,2.21E-09,5.37E-11,0,0,0,0.007699291,2.65E-07,3.34E-07,3.49E-07,1.23E-07,4.87E-08,1.24E-09,3.02E-11,0,0,0,1,0.999847753,8.83E-05,4.84E-05,4.61E-05,2.25E-05,3.69E-07,9.31E-09,2.26E-10,0,0,0,-9.88E-05,8.83E-05,-5.12E-06,-7.33E-06,2.25E-05,3.69E-07,9.31E-09,2.26E-10,0,0,0,7.59E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
2,0.210458477,2.43E-05,1.01E-05,9.11E-06,9.18E-06,3.03E-08,1.51E-09,7.46E-11,0,0,0,0.173349075,3.36E-05,1.10E-05,7.55E-06,8.00E-06,2.99E-08,1.41E-09,6.79E-11,0,0,0,0.263427724,4.69E-05,1.49E-05,1.24E-05,1.20E-05,5.29E-08,2.54E-09,1.24E-10,0,0,0,0.171551172,3.19E-05,9.60E-06,8.54E-06,7.85E-06,6.40E-08,3.09E-09,1.51E-10,0,0,0,0.092378188,1.36E-05,4.48E-06,4.54E-06,4.04E-06,9.53E-08,4.73E-09,2.34E-10,0,0,0,0.055488888,6.56E-06,2.42E-06,2.67E-06,2.27E-06,1.52E-07,7.72E-09,3.85E-10,0,0,0,0.025396659,1.60E-06,9.47E-07,1.09E-06,9.09E-07,1.46E-07,7.60E-09,3.83E-10,0,0,0,0.007698999,4.74E-07,2.83E-07,3.34E-07,2.36E-07,8.17E-08,4.26E-09,2.15E-10,0,0,0,2,0.999749182,0.000159057,5.38E-05,4.63E-05,4.45E-05,6.52E-07,3.29E-08,1.64E-09,0,0,0,-9.86E-05,7.07E-05,5.43E-06,1.27E-07,2.20E-05,2.84E-07,2.35E-08,1.41E-09,0,0,0,7.63E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
3,0.210441854,3.44E-05,1.16E-05,9.59E-06,1.38E-05,4.33E-08,3.11E-09,2.34E-10,0,0,0,0.173323793,4.96E-05,1.50E-05,8.08E-06,1.27E-05,4.77E-08,3.10E-09,2.22E-10,0,0,0,0.263393525,6.83E-05,1.91E-05,1.41E-05,1.89E-05,8.07E-08,5.46E-09,3.98E-10,0,0,0,0.171528243,4.62E-05,1.22E-05,1.01E-05,1.24E-05,9.71E-08,6.60E-09,4.83E-10,0,0,0,0.092368392,1.97E-05,5.19E-06,5.30E-06,6.23E-06,1.37E-07,9.79E-09,7.34E-10,0,0,0,0.055484192,9.47E-06,2.58E-06,3.06E-06,3.44E-06,2.09E-07,1.56E-08,1.19E-09,0,0,0,0.025395538,2.28E-06,8.60E-07,1.15E-06,1.33E-06,1.88E-07,1.49E-08,1.16E-09,0,0,0,0.007698665,6.79E-07,2.52E-07,3.53E-07,3.49E-07,1.04E-07,8.31E-09,6.52E-10,0,0,0,3,0.999634202,0.000230543,6.67E-05,5.17E-05,6.93E-05,9.07E-07,6.68E-08,5.07E-09,0,0,0,-0.00011498,7.15E-05,1.29E-05,5.46E-06,2.48E-05,2.55E-07,3.40E-08,3.44E-09,0,0,0,8.99E-05,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
4,0.210421731,4.56E-05,1.40E-05,1.08E-05,1.91E-05,5.75E-08,5.20E-09,5.22E-10,0,0,0,0.173291113,6.91E-05,2.08E-05,9.37E-06,1.88E-05,7.14E-08,5.61E-09,5.21E-10,0,0,0,0.263350253,9.35E-05,2.54E-05,1.72E-05,2.76E-05,1.16E-07,9.57E-09,9.17E-10,0,0,0,0.171499535,6.27E-05,1.60E-05,1.26E-05,1.82E-05,1.38E-07,1.15E-08,1.11E-09,0,0,0,0.092356082,2.68E-05,6.40E-06,6.58E-06,8.88E-06,1.83E-07,1.64E-08,1.64E-09,0,0,0,0.055478316,1.29E-05,2.96E-06,3.75E-06,4.79E-06,2.67E-07,2.54E-08,2.62E-09,0,0,0,0.025394151,3.07E-06,8.32E-07,1.30E-06,1.76E-06,2.20E-07,2.32E-08,2.49E-09,0,0,0,0.007698251,9.15E-07,2.38E-07,4.01E-07,4.71E-07,1.21E-07,1.29E-08,1.39E-09,0,0,0,4,0.999489433,0.000314589,8.65E-05,6.20E-05,9.97E-05,1.17E-06,1.10E-07,1.12E-08,0,0,0,-0.000144769,8.40E-05,1.98E-05,1.02E-05,3.04E-05,2.66E-07,4.31E-08,6.14E-09,0,0,0,0.000114064,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
5,0.210396394,5.92E-05,1.74E-05,1.28E-05,2.54E-05,7.43E-08,7.84E-09,9.76E-10,0,0,0,0.173247722,9.43E-05,2.87E-05,1.15E-05,2.69E-05,1.03E-07,9.20E-09,1.03E-09,0,0,0,0.263293825,0.000125561,3.39E-05,2.17E-05,3.89E-05,1.61E-07,1.52E-08,1.78E-09,0,0,0,0.171462416,8.36E-05,2.11E-05,1.61E-05,2.57E-05,1.90E-07,1.82E-08,2.14E-09,0,0,0,0.092340107,3.58E-05,8.14E-06,8.41E-06,1.22E-05,2.40E-07,2.49E-08,3.08E-09,0,0,0,0.055470712,1.71E-05,3.58E-06,4.74E-06,6.44E-06,3.32E-07,3.73E-08,4.80E-09,0,0,0,0.025392372,4.06E-06,8.60E-07,1.54E-06,2.24E-06,2.47E-07,3.21E-08,4.43E-09,0,0,0,0.007697719,1.21E-06,2.40E-07,4.79E-07,6.08E-07,1.34E-07,1.78E-08,2.47E-09,0,0,0,5,0.999301267,0.000420892,0.000113956,7.73E-05,0.000138414,1.48E-06,1.63E-07,2.07E-08,0,0,0,-0.000188166,0.000106303,2.74E-05,1.53E-05,3.87E-05,3.09E-07,5.26E-08,9.49E-09,0,0,0,0.000149066,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
6,0.210363879,7.66E-05,2.19E-05,1.56E-05,3.32E-05,9.51E-08,1.11E-08,1.64E-09,0,0,0,0.173189617,0.000127733,3.94E-05,1.47E-05,3.77E-05,1.47E-07,1.42E-08,1.84E-09,0,0,0,0.263219418,0.000167375,4.53E-05,2.81E-05,5.37E-05,2.20E-07,2.28E-08,3.09E-09,0,0,0,0.1714138,0.000110573,2.80E-05,2.09E-05,3.56E-05,2.59E-07,2.71E-08,3.71E-09,0,0,0,0.092319104,4.75E-05,1.05E-05,1.09E-05,1.65E-05,3.12E-07,3.57E-08,5.19E-09,0,0,0,0.055460733,2.27E-05,4.47E-06,6.10E-06,8.52E-06,4.11E-07,5.14E-08,7.89E-09,0,0,0,0.025390055,5.33E-06,9.44E-07,1.90E-06,2.81E-06,2.74E-07,4.15E-08,7.01E-09,0,0,0,0.007697024,1.59E-06,2.57E-07,5.93E-07,7.69E-07,1.47E-07,2.28E-08,3.89E-09,0,0,0,6,0.999053631,0.000559444,0.000150865,9.87E-05,0.000188698,1.87E-06,2.27E-07,3.43E-08,0,0,0,-0.000247637,0.000138552,3.69E-05,2.14E-05,5.03E-05,3.84E-07,6.42E-08,1.36E-08,0,0,0,0.000196891,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
7,0.210321743,9.92E-05,2.79E-05,1.94E-05,4.29E-05,1.21E-07,1.52E-08,2.55E-09,0,0,0,0.173111655,0.000172332,5.37E-05,1.91E-05,5.22E-05,2.05E-07,2.12E-08,3.07E-09,0,0,0,0.263120915,0.000222502,6.05E-05,3.67E-05,7.32E-05,2.99E-07,3.29E-08,5.03E-09,0,0,0,0.171349793,0.000146025,3.71E-05,2.73E-05,4.85E-05,3.49E-07,3.90E-08,6.01E-09,0,0,0,0.09229135,6.30E-05,1.38E-05,1.43E-05,2.21E-05,4.06E-07,4.93E-08,8.15E-09,0,0,0,0.055447561,3.00E-05,5.70E-06,7.94E-06,1.12E-05,5.13E-07,6.85E-08,1.21E-08,0,0,0,0.025387013,7.00E-06,1.09E-06,2.39E-06,3.49E-06,3.06E-07,5.15E-08,1.03E-08,0,0,0,0.007696109,2.10E-06,2.93E-07,7.51E-07,9.66E-07,1.61E-07,2.81E-08,5.67E-09,0,0,0,7,0.99872614,0.000742122,0.000200039,0.000127867,0.000254588,2.36E-06,3.06E-07,5.28E-08,0,0,0,-0.00032749,0.000182678,4.92E-05,2.92E-05,6.59E-05,4.95E-07,7.90E-08,1.86E-08,0,0,0,0.000261008,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
8,0.210266824,0.000128729,3.58E-05,2.45E-05,5.53E-05,1.55E-07,2.03E-08,3.79E-09,0,0,0,0.173007074,0.000231959,7.29E-05,2.53E-05,7.18E-05,2.84E-07,3.08E-08,4.88E-09,0,0,0,0.262990346,0.000295447,8.05E-05,4.82E-05,9.91E-05,4.03E-07,4.65E-08,7.79E-09,0,0,0,0.171265331,0.000192786,4.90E-05,3.59E-05,6.56E-05,4.67E-07,5.46E-08,9.26E-09,0,0,0,0.092254597,8.35E-05,1.81E-05,1.88E-05,2.94E-05,5.30E-07,6.69E-08,1.22E-08,0,0,0,0.055430131,3.97E-05,7.37E-06,1.04E-05,1.46E-05,6.47E-07,8.97E-08,1.76E-08,0,0,0,0.025383005,9.20E-06,1.32E-06,3.06E-06,4.34E-06,3.46E-07,6.22E-08,1.42E-08,0,0,0,0.007694901,2.76E-06,3.49E-07,9.64E-07,1.21E-06,1.80E-07,3.36E-08,7.83E-09,0,0,0,8,0.99829221,0.000984012,0.000265369,0.000167047,0.000341346,3.01E-06,4.05E-07,7.76E-08,0,0,0,-0.000433931,0.00024189,6.53E-05,3.92E-05,8.68E-05,6.50E-07,9.89E-08,2.48E-08,0,0,0,0.000346399,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
9,0.210194978,0.000167589,4.62E-05,3.12E-05,7.11E-05,1.98E-07,2.68E-08,5.44E-09,0,0,0,0.172866914,0.000311668,9.85E-05,3.36E-05,9.82E-05,3.89E-07,4.38E-08,7.47E-09,0,0,0,0.262817218,0.000392085,0.000107127,6.36E-05,0.000133405,5.41E-07,6.45E-08,1.16E-08,0,0,0,0.171153753,0.000254585,6.48E-05,4.72E-05,8.81E-05,6.22E-07,7.53E-08,1.38E-08,0,0,0,0.092205882,0.000110582,2.38E-05,2.48E-05,3.91E-05,6.94E-07,8.97E-08,1.77E-08,0,0,0,0.055407038,5.25E-05,9.62E-06,1.37E-05,1.92E-05,8.23E-07,1.16E-07,2.48E-08,0,0,0,0.025377714,1.21E-05,1.64E-06,3.96E-06,5.42E-06,4.00E-07,7.42E-08,1.90E-08,0,0,0,0.007693303,3.65E-06,4.30E-07,1.25E-06,1.52E-06,2.05E-07,3.96E-08,1.04E-08,0,0,0,9,0.9977168,0.001304786,0.000352096,0.000219383,0.000455898,3.87E-06,5.30E-07,1.10E-07,0,0,0,-0.00057541,0.000320774,8.67E-05,5.23E-05,0.000114553,8.61E-07,1.25E-07,3.26E-08,0,0,0,0.000459838,6.166154417,0.223981995,0.231769387,0.164580925,0.093467467,0.656818587
