,Susceptible: 0-9,Exposed: 0-9,Infected (symptomatic): 0-9,Asymptomatically Infected: 0-9,Recovered: 0-9,Hospitalised: 0-9,Critical: 0-9,Deaths: 0-9,Offsite: 0-9,Quarantined: 0-9,No ICU Care: 0-9,Susceptible: 10-19,Exposed: 10-19,Infected (symptomatic): 10-19,Asymptomatically Infected: 10-19,Recovered: 10-19,Hospitalised: 10-19,Critical: 10-19,Deaths: 10-19,Offsite: 10-19,Quarantined: 10-19,No ICU Care: 10-19,Susceptible: 20-29,Exposed: 20-29,Infected (symptomatic): 20-29,Asymptomatically Infected: 20-29,Recovered: 20-29,Hospitalised: 20-29,Critical: 20-29,Deaths: 20-29,Offsite: 20-29,Quarantined: 20-29,No ICU Care: 20-29,Susceptible: 30-39,Exposed: 30-39,Infected (symptomatic): 30-39,Asymptomatically Infected: 30-39,Recovered: 30-39,Hospitalised: 30-39,Critical: 30-39,Deaths: 30-39,Offsite: 30-39,Quarantined: 30-39,No ICU Care: 30-39,Susceptible: 40-49,Exposed: 40-49,Infected (symptomatic): 40-49,Asymptomatically Infected: 40-49,Recovered: 40-49,Hospitalised: 40-49,Critical: 40-49,Deaths: 40-49,Offsite: 40-49,Quarantined: 40-49,No ICU Care: 40-49,Susceptible: 50-59,Exposed: 50-59,Infected (symptomatic): 50-59,Asymptomatically Infected: 50-59,Recovered: 50-59,Hospitalised: 50-59,Critical: 50-59,Deaths: 50-59,Offsite: 50-59,Quarantined: 50-59,No ICU Care: 50-59,Susceptible: 60-69,Exposed: 60-69,Infected (symptomatic): 60-69,Asymptomatically Infected: 60-69,Recovered: 60-69,Hospitalised: 60-69,Critical: 60-69,Deaths: 60-69,Offsite: 60-69,Quarantined: 60-69,No ICU Care: 60-69,Susceptible: 70+,Exposed: 70+,Infected (symptomatic): 70+,Asymptomatically Infected: 70+,Recovered: 70+,Hospitalised: 70+,Critical: 70+,Deaths: 70+,Offsite: 70+,Quarantined: 70+,No ICU Care: 70+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,Offsite,Quarantined,No ICU Care,Change in Susceptible,Change in Exposed,Change in Infected (symptomatic),Change in Asymptomatically Infected,Change in Recovered,Change in Hospitalised,Change in Critical,Change in Deaths,Change in Offsite,Change in Quarantined,Change in No ICU Care,Change in total active infections,R0,latentRate,removalRate,hospRate,deathRateICU,deathRateNoIcu
1407,0.210488743,0,1.13E-05,1.13E-05,0,0,0,0,0,0,0,0.173390727,0,9.27E-06,9.27E-06,0,0,0,0,0,0,0,0.263485909,0,1.41E-05,1.41E-05,0,0,0,0,0,0,0,0.171590824,0,9.18E-06,9.18E-06,0,0,0,0,0,0,0,0.092395059,0,4.94E-06,4.94E-06,0,0,0,0,0,0,0,0.055497032,0,2.97E-06,2.97E-06,0,0,0,0,0,0,0,0.025398642,0,1.36E-06,1.36E-06,0,0,0,0,0,0,0,0.007699588,0,4.12E-07,4.12E-07,0,0,0,0,0,0,0,0,0.999946524,0,5.35E-05,5.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1408,0.210480042,7.60E-06,9.74E-06,9.53E-06,4.33E-06,1.57E-08,2.56E-10,6.19E-12,0,0,0,0.173379112,1.02E-05,8.53E-06,7.85E-06,3.60E-06,1.41E-08,2.27E-10,5.47E-12,0,0,0,0.263469521,1.43E-05,1.26E-05,1.21E-05,5.46E-06,2.59E-08,4.20E-10,1.01E-11,0,0,0,0.171579599,9.81E-06,8.20E-06,7.99E-06,3.55E-06,3.15E-08,5.11E-10,1.23E-11,0,0,0,0.092390288,4.17E-06,4.28E-06,4.29E-06,1.87E-06,4.92E-08,8.03E-10,1.94E-11,0,0,0,0.055494724,2.02E-06,2.52E-06,2.56E-06,1.06E-06,8.14E-08,1.33E-09,3.22E-11,0,0,0,0.025398077,4.94E-07,1.12E-06,1.15E-06,4.37E-07,8.16E-08,1.34E-09,3.25E-11,0,0,0,0.007699421,1.47E-07,3.38E-07,3.49E-07,1.11E-07,4.59E-08,7.54E-10,1.83E-11,0,0,0,1,0.999890784,4.87E-05,4.74E-05,4.59E-05,2.04E-05,3.45E-07,5.64E-09,1.37E-10,0,0,0,-5.57E-05,4.87E-05,-6.12E-06,-7.62E-06,2.04E-05,3.45E-07,5.64E-09,1.37E-10,0,0,0,3.50E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1409,0.210471984,1.29E-05,9.42E-06,8.74E-06,8.22E-06,2.85E-08,9.21E-10,4.56E-11,0,0,0,0.173367937,1.76E-05,9.49E-06,7.22E-06,7.04E-06,2.70E-08,8.42E-10,4.10E-11,0,0,0,0.263453948,2.46E-05,1.33E-05,1.16E-05,1.06E-05,4.86E-08,1.54E-09,7.54E-11,0,0,0,0.171569001,1.68E-05,8.56E-06,7.86E-06,6.91E-06,5.89E-08,1.87E-09,9.16E-11,0,0,0,0.092385778,7.14E-06,4.15E-06,4.19E-06,3.59E-06,8.95E-08,2.89E-09,1.43E-10,0,0,0,0.055492548,3.45E-06,2.32E-06,2.48E-06,2.03E-06,1.45E-07,4.75E-09,2.36E-10,0,0,0,0.025397548,8.41E-07,9.53E-07,1.05E-06,8.20E-07,1.42E-07,4.72E-09,2.36E-10,0,0,0,0.007699263,2.50E-07,2.86E-07,3.20E-07,2.11E-07,7.94E-08,2.65E-09,1.33E-10,0,0,0,2,0.999838006,8.35E-05,4.85E-05,4.35E-05,3.94E-05,6.19E-07,2.02E-08,1.00E-09,0,0,0,-5.28E-05,3.48E-05,1.10E-06,-2.38E-06,1.90E-05,2.74E-07,1.45E-08,8.65E-10,0,0,0,3.35E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1410,0.21046372,1.71E-05,9.83E-06,8.55E-06,1.20E-05,4.01E-08,1.90E-09,1.43E-10,0,0,0,0.17335581,2.41E-05,1.15E-05,7.13E-06,1.07E-05,4.12E-08,1.82E-09,1.32E-10,0,0,0,0.263437354,3.34E-05,1.52E-05,1.20E-05,1.60E-05,7.17E-08,3.25E-09,2.41E-10,0,0,0,0.17155781,2.26E-05,9.74E-06,8.40E-06,1.05E-05,8.66E-08,3.94E-09,2.92E-10,0,0,0,0.092381004,9.64E-06,4.37E-06,4.45E-06,5.34E-06,1.26E-07,5.97E-09,4.50E-10,0,0,0,0.055490254,4.65E-06,2.28E-06,2.59E-06,2.98E-06,1.99E-07,9.65E-09,7.36E-10,0,0,0,0.025396996,1.13E-06,8.40E-07,1.02E-06,1.17E-06,1.87E-07,9.40E-09,7.27E-10,0,0,0,0.007699099,3.35E-07,2.49E-07,3.14E-07,3.05E-07,1.04E-07,5.26E-09,4.08E-10,0,0,0,3,0.999782049,0.000112887,5.41E-05,4.45E-05,5.91E-05,8.56E-07,4.12E-08,3.13E-09,0,0,0,-5.60E-05,2.94E-05,5.61E-06,1.01E-06,1.97E-05,2.37E-07,2.10E-08,2.13E-09,0,0,0,3.60E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1411,0.210454687,2.10E-05,1.08E-05,8.79E-06,1.60E-05,5.17E-08,3.14E-09,3.19E-10,0,0,0,0.173341783,3.07E-05,1.43E-05,7.45E-06,1.49E-05,5.79E-08,3.17E-09,3.06E-10,0,0,0,0.263418507,4.20E-05,1.81E-05,1.32E-05,2.21E-05,9.73E-08,5.56E-09,5.47E-10,0,0,0,0.171545216,2.84E-05,1.15E-05,9.42E-06,1.46E-05,1.17E-07,6.72E-09,6.63E-10,0,0,0,0.092375618,1.21E-05,4.84E-06,4.96E-06,7.25E-06,1.63E-07,9.90E-09,1.00E-09,0,0,0,0.055487676,5.82E-06,2.37E-06,2.86E-06,3.98E-06,2.49E-07,1.57E-08,1.62E-09,0,0,0,0.025396383,1.40E-06,7.67E-07,1.05E-06,1.52E-06,2.21E-07,1.49E-08,1.58E-09,0,0,0,0.007698917,4.16E-07,2.24E-07,3.24E-07,4.00E-07,1.23E-07,8.30E-09,8.84E-10,0,0,0,4,0.999718786,0.000141823,6.29E-05,4.80E-05,8.08E-05,1.08E-06,6.74E-08,6.92E-09,0,0,0,-6.33E-05,2.89E-05,8.88E-06,3.51E-06,2.17E-05,2.24E-07,2.62E-08,3.79E-09,0,0,0,4.13E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1412,0.210444452,2.50E-05,1.21E-05,9.36E-06,2.03E-05,6.37E-08,4.64E-09,5.92E-10,0,0,0,0.173325078,3.82E-05,1.79E-05,8.13E-06,1.99E-05,7.80E-08,4.98E-09,5.90E-10,0,0,0,0.263396427,5.15E-05,2.19E-05,1.49E-05,2.92E-05,1.27E-07,8.51E-09,1.04E-09,0,0,0,0.171530579,3.45E-05,1.38E-05,1.09E-05,1.93E-05,1.52E-07,1.02E-08,1.26E-09,0,0,0,0.09236934,1.48E-05,5.53E-06,5.68E-06,9.41E-06,2.03E-07,1.47E-08,1.86E-09,0,0,0,0.05548468,7.08E-06,2.57E-06,3.24E-06,5.08E-06,2.98E-07,2.27E-08,2.97E-09,0,0,0,0.025395676,1.69E-06,7.27E-07,1.12E-06,1.87E-06,2.48E-07,2.08E-08,2.83E-09,0,0,0,0.007698706,5.03E-07,2.08E-07,3.48E-07,4.97E-07,1.37E-07,1.16E-08,1.58E-09,0,0,0,5,0.999644937,0.000173256,7.47E-05,5.36E-05,0.000105574,1.31E-06,9.81E-08,1.27E-08,0,0,0,-7.38E-05,3.14E-05,1.17E-05,5.62E-06,2.48E-05,2.27E-07,3.07E-08,5.80E-09,0,0,0,4.88E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1413,0.210432626,2.95E-05,1.38E-05,1.02E-05,2.50E-05,7.69E-08,6.39E-09,9.79E-10,0,0,0,0.173304944,4.69E-05,2.23E-05,9.18E-06,2.59E-05,1.03E-07,7.31E-09,1.02E-09,0,0,0,0.263370197,6.24E-05,2.65E-05,1.72E-05,3.76E-05,1.62E-07,1.22E-08,1.76E-09,0,0,0,0.171513308,4.16E-05,1.65E-05,1.27E-05,2.49E-05,1.92E-07,1.46E-08,2.13E-09,0,0,0,0.092361909,1.78E-05,6.42E-06,6.63E-06,1.19E-05,2.47E-07,2.03E-08,3.09E-09,0,0,0,0.055481142,8.52E-06,2.86E-06,3.75E-06,6.32E-06,3.49E-07,3.07E-08,4.84E-09,0,0,0,0.025394848,2.02E-06,7.16E-07,1.24E-06,2.24E-06,2.71E-07,2.69E-08,4.51E-09,0,0,0,0.007698458,6.02E-07,2.01E-07,3.84E-07,6.01E-07,1.48E-07,1.49E-08,2.52E-09,0,0,0,6,0.999557431,0.000209288,8.92E-05,6.13E-05,0.000134517,1.55E-06,1.33E-07,2.08E-08,0,0,0,-8.75E-05,3.60E-05,1.46E-05,7.67E-06,2.89E-05,2.43E-07,3.52E-08,8.12E-09,0,0,0,5.83E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1414,0.210418813,3.47E-05,1.58E-05,1.14E-05,3.04E-05,9.17E-08,8.41E-09,1.50E-09,0,0,0,0.17328057,5.72E-05,2.76E-05,1.06E-05,3.32E-05,1.33E-07,1.03E-08,1.63E-09,0,0,0,0.263338847,7.53E-05,3.20E-05,2.01E-05,4.76E-05,2.03E-07,1.67E-08,2.78E-09,0,0,0,0.171492783,4.98E-05,1.98E-05,1.49E-05,3.15E-05,2.40E-07,2.00E-08,3.34E-09,0,0,0,0.092353052,2.14E-05,7.54E-06,7.81E-06,1.48E-05,2.98E-07,2.69E-08,4.74E-09,0,0,0,0.055476931,1.02E-05,3.25E-06,4.38E-06,7.75E-06,4.06E-07,3.95E-08,7.31E-09,0,0,0,0.025393868,2.40E-06,7.31E-07,1.39E-06,2.64E-06,2.92E-07,3.32E-08,6.62E-09,0,0,0,0.007698164,7.18E-07,2.01E-07,4.33E-07,7.14E-07,1.58E-07,1.83E-08,3.69E-09,0,0,0,7,0.999453027,0.000251679,0.000106975,7.11E-05,0.00016865,1.82E-06,1.73E-07,3.16E-08,0,0,0,-0.000104404,4.24E-05,1.77E-05,9.83E-06,3.41E-05,2.72E-07,4.00E-08,1.08E-08,0,0,0,6.99E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1415,0.210402573,4.08E-05,1.84E-05,1.29E-05,3.65E-05,1.08E-07,1.07E-08,2.17E-09,0,0,0,0.173251025,6.97E-05,3.39E-05,1.25E-05,4.20E-05,1.69E-07,1.40E-08,2.48E-09,0,0,0,0.263301282,9.05E-05,3.86E-05,2.38E-05,5.96E-05,2.53E-07,2.22E-08,4.14E-09,0,0,0,0.171468307,5.96E-05,2.38E-05,1.77E-05,3.95E-05,2.97E-07,2.64E-08,4.96E-09,0,0,0,0.092342458,2.57E-05,8.92E-06,9.25E-06,1.83E-05,3.57E-07,3.45E-08,6.89E-09,0,0,0,0.0554719,1.22E-05,3.75E-06,5.16E-06,9.40E-06,4.71E-07,4.95E-08,1.04E-08,0,0,0,0.025392703,2.86E-06,7.71E-07,1.59E-06,3.08E-06,3.13E-07,3.95E-08,9.18E-09,0,0,0,0.007697814,8.56E-07,2.09E-07,4.97E-07,8.41E-07,1.68E-07,2.17E-08,5.09E-09,0,0,0,8,0.999328061,0.000302147,0.000128361,8.34E-05,0.000209151,2.14E-06,2.19E-07,4.54E-08,0,0,0,-0.000124966,5.05E-05,2.14E-05,1.22E-05,4.05E-05,3.13E-07,4.54E-08,1.38E-08,0,0,0,8.41E-05,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
1416,0.210383398,4.80E-05,2.14E-05,1.48E-05,4.36E-05,1.28E-07,1.34E-08,3.02E-09,0,0,0,0.173215213,8.47E-05,4.16E-05,1.48E-05,5.27E-05,2.13E-07,1.86E-08,3.62E-09,0,0,0,0.263256221,0.000108774,4.66E-05,2.82E-05,7.39E-05,3.12E-07,2.89E-08,5.93E-09,0,0,0,0.171439068,7.12E-05,2.85E-05,2.10E-05,4.90E-05,3.63E-07,3.42E-08,7.09E-09,0,0,0,0.092329765,3.08E-05,1.06E-05,1.10E-05,2.23E-05,4.27E-07,4.35E-08,9.63E-09,0,0,0,0.055465878,1.46E-05,4.38E-06,6.11E-06,1.13E-05,5.46E-07,6.07E-08,1.43E-08,0,0,0,0.025391314,3.41E-06,8.39E-07,1.83E-06,3.57E-06,3.35E-07,4.60E-08,1.22E-08,0,0,0,0.007697396,1.02E-06,2.24E-07,5.76E-07,9.83E-07,1.78E-07,2.51E-08,6.74E-09,0,0,0,9,0.999178253,0.000362548,0.000154077,9.84E-05,0.000257387,2.50E-06,2.70E-07,6.25E-08,0,0,0,-0.000149808,6.04E-05,2.57E-05,1.50E-05,4.82E-05,3.66E-07,5.17E-08,1.72E-08,0,0,0,0.000101137,3.845167023,0.269758399,0.210295971,0.107541684,0.093871953,0.389787374
