,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
0,8698,2,2,1,2,1,1,1,3,1
1,8695,3,4,1,2,1,1,1,8,2
2,8694,4,4,1,2,1,1,1,9,3
3,8690,8,3,1,3,1,1,1,14,4
4,8688,9,4,1,3,1,1,1,17,5
5,8685,11,4,1,3,1,2,1,23,6
6,8683,12,4,2,2,1,3,1,28,7
7,8677,15,7,2,2,1,3,1,37,8
8,8672,17,9,3,2,1,3,1,46,9
9,8665,23,10,3,2,1,3,1,54,10
10,8658,27,12,3,2,1,4,1,66,11
11,8651,28,16,4,3,1,4,1,81,12
12,8635,37,21,4,5,1,4,1,106,13
13,8611,53,24,5,9,1,4,1,143,14
14,8587,62,35,7,10,1,5,1,187,15
15,8563,73,45,7,12,1,6,1,228,16
16,8526,92,58,8,15,1,7,1,289,17
17,8483,113,66,11,25,1,8,1,369,18
18,8422,151,78,13,31,2,10,1,467,19
19,8341,196,90,21,43,2,14,1,612,20
20,8265,238,105,28,51,2,18,1,745,21
21,8151,307,123,38,65,2,21,1,934,22
22,8005,390,153,51,80,1,27,1,1182,23
23,7845,474,197,56,96,1,38,1,1461,24
24,7657,556,262,67,113,2,50,1,1809,25
25,7444,646,337,81,139,2,58,1,2201,26
26,7137,806,404,106,182,4,68,1,2747,27
27,6797,973,489,130,224,3,90,2,3371,28
28,6403,1140,606,169,273,5,110,2,4124,29
29,5989,1328,711,197,332,5,143,3,4920,30
30,5482,1528,855,247,405,6,182,3,5937,31
31,4957,1747,985,306,475,7,228,3,6991,32
32,4416,1917,1155,372,560,9,275,4,8155,33
33,3819,2127,1307,448,644,9,348,6,9451,34
34,3216,2253,1512,530,760,10,419,8,10879,35
35,2667,2387,1639,613,871,10,510,11,12228,36
36,2175,2422,1754,699,1051,10,582,15,13599,37
37,1702,2387,1906,824,1186,11,673,19,15036,38
38,1318,2333,1986,930,1331,9,778,23,16328,39
39,995,2211,2034,1027,1484,8,921,28,17645,40
40,767,1982,2077,1159,1615,9,1068,31,18898,41
41,578,1780,2076,1246,1750,12,1231,35,20044,42
42,427,1609,2011,1313,1897,15,1398,38,21080,43
43,311,1409,1949,1396,2024,16,1563,40,22061,44
44,223,1261,1808,1484,2110,20,1761,41,22966,45
45,173,1090,1697,1539,2196,14,1952,47,23768,46
46,123,931,1601,1561,2233,17,2194,48,24579,47
47,93,786,1485,1581,2294,19,2398,52,25289,48
48,76,661,1323,1610,2348,21,2614,55,25976,49
49,63,547,1184,1619,2375,27,2837,56,26613,50
50,54,465,1042,1611,2393,23,3056,64,27179,51
51,43,393,937,1583,2375,26,3285,66,27698,52
52,38,329,847,1580,2338,29,3479,68,28133,53
53,30,286,745,1541,2311,35,3689,71,28567,54
54,27,238,653,1487,2281,34,3909,79,29000,55
55,20,210,587,1407,2232,36,4127,89,29383,56
56,18,173,505,1366,2188,37,4330,91,29753,57
57,16,144,422,1335,2117,37,4542,95,30121,58
58,15,123,358,1283,2056,35,4738,100,30437,59
59,13,110,301,1239,1988,34,4919,104,30715,60
60,11,98,262,1187,1899,34,5109,108,30984,61
61,9,75,243,1145,1840,34,5251,111,31205,62
62,7,65,214,1101,1758,35,5413,115,31432,63
63,7,57,176,1045,1677,29,5596,121,31678,64
64,7,49,150,996,1609,30,5746,121,31871,65
65,6,42,131,950,1536,29,5892,122,32055,66
66,5,38,117,899,1454,29,6043,123,32234,67
67,5,27,110,871,1372,24,6173,126,32396,68
68,5,25,97,827,1298,23,6305,128,32549,69
69,5,22,83,788,1232,20,6429,129,32695,70
70,5,21,73,748,1175,23,6534,129,32815,71
71,5,15,65,703,1132,22,6634,132,32941,72
72,5,12,52,660,1073,20,6753,133,33080,73
73,3,10,43,624,1022,18,6852,136,33204,74
74,3,9,36,607,956,18,6943,136,33304,75
75,3,9,29,575,903,17,7034,138,33405,76
76,3,8,26,551,863,21,7096,140,33481,77
77,2,8,23,524,823,24,7163,141,33559,78
78,2,8,16,499,783,21,7236,143,33641,79
79,2,8,14,472,732,18,7316,146,33727,80
80,2,6,13,452,691,18,7378,148,33799,81
