Profile,Parameter,Category,Value
BaselineHTHI,number_of_people_in_isoboxes,Camp Parameter,8100
BaselineHTHI,number_of_people_in_one_isobox,Camp Parameter,10
BaselineHTHI,number_of_people_in_tents,Camp Parameter,10600
BaselineHTHI,number_of_people_in_one_tent,Camp Parameter,4
BaselineHTHI,permanently_asymptomatic_cases,Camp Parameter,0.179
BaselineHTHI,area_covered_by_isoboxes,Camp Parameter,0.5
BaselineHTHI,relative_strength_of_interaction,Camp Parameter,0.2
BaselineHTHI,smaller_movement_radius,Baseline High Transmission High Interaction,0.0202
BaselineHTHI,larger_movement_radius,Baseline High Transmission High Interaction,0.0226
BaselineHTHI,overlapping_rages_radius,Camp Parameter,0.02
BaselineHTHI,number_of_steps,Simulation Parameter,200
BaselineHTHI,num_toilet_visit,Camp Parameter,3
BaselineHTHI,num_toilet_contact,Camp Parameter,2
BaselineHTHI,num_food_visit,Camp Parameter,1
BaselineHTHI,num_food_contact,Camp Parameter,2
BaselineHTHI,pct_food_visit,Camp Parameter,0.75
BaselineHTHI,transmission_reduction,Baseline High Transmission High Interaction,1
BaselineHTHI,probability_spotting_symptoms_per_day,Baseline High Transmission High Interaction,0.05
BaselineHTHI,clearday,Camp Parameter,7
BaselineHTHI,toilets_blocks,Camp Parameter,"12,12"
BaselineHTHI,foodline_blocks,Baseline High Transmission High Interaction,"1,1"
BaselineHTHI,prop_violating_lockdown,Baseline High Transmission High Interaction,
BaselineHTHI,lockdown_home_range,Baseline High Transmission High Interaction,
BaselineHTHI,prob_spread_wander,Baseline High Transmission High Interaction,0.017
BaselineHTHI,prob_spread_house,Baseline High Transmission High Interaction,0.33
BaselineHTHI,prob_spread_toilet,Baseline High Transmission High Interaction,0.099
BaselineHTHI,prob_spread_foodline,Baseline High Transmission High Interaction,0.407
BaselineLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
QuarantineLTHI,area_covered_by_isoboxes,Camp Parameter,0.5
BaselineLTHI,clearday,Camp Parameter,7
QuarantineLTHI,clearday,Camp Parameter,7
BaselineLTHI,foodline_blocks,Baseline Low Transmission High Interaction,"1,1"
QuarantineLTHI,foodline_blocks,Quarantine Low Transmission High Interaction,"1,1"
BaselineLTHI,larger_movement_radius,Baseline Low Transmission High Interaction,0.0226
QuarantineLTHI,larger_movement_radius,Quarantine Low Transmission High Interaction,0.0226
BaselineLTHI,lockdown_home_range,Baseline Low Transmission High Interaction,
QuarantineLTHI,lockdown_home_range,Quarantine Low Transmission High Interaction,
BaselineLTHI,num_food_contact,Camp Parameter,2
QuarantineLTHI,num_food_contact,Camp Parameter,2
BaselineLTHI,num_food_visit,Camp Parameter,1
QuarantineLTHI,num_food_visit,Camp Parameter,1
BaselineLTHI,num_toilet_contact,Camp Parameter,2
QuarantineLTHI,num_toilet_contact,Camp Parameter,2
BaselineLTHI,num_toilet_visit,Camp Parameter,3
QuarantineLTHI,num_toilet_visit,Camp Parameter,3
