Profile,Parameter,Start Time,End Time,Value
baseline,number_of_people_in_isoboxes,,,8100
baseline,number_of_people_in_one_isobox,,,10
baseline,number_of_tents,,,2560
baseline,total_population_in_tents,,,10600
baseline,number_of_people_in_one_tent,,,4
baseline,neighbor_proximity,,,2
baseline,neighbor_weight,,,0.017
baseline,food_weight,,,0.407
baseline,household_weight,,,0.98
baseline,number_of_ethnic_groups,,,8
baseline,dimensions_of_isoboxes,,,"29,28"
baseline,dimensions_of_block1,,,"20,67"
baseline,dimensions_of_block2,,,"53,15"
baseline,dimensions_of_block3,,,"19,28"
baseline,number_of_steps,,,200
custom,number_of_people_in_isoboxes,,,8100
custom,number_of_people_in_one_isobox,,,10
custom,number_of_tents,,,2560
custom,total_population_in_tents,,,10600
custom,number_of_people_in_one_tent,,,4
custom,neighbor_proximity,,,2
custom,neighbor_weight,,,0.017
custom,food_weight,,,0.407
custom,household_weight,,,0.98
custom,number_of_ethnic_groups,,,8
custom,dimensions_of_isoboxes,,,"29,28"
custom,dimensions_of_block1,,,"20,67"
custom,dimensions_of_block2,,,"53,15"
custom,dimensions_of_block3,,,"19,28"
custom,number_of_steps,,,5
